time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
218,PHYS,0.04244635818035866,0.4556809177029232,0.00016308427222219284,40,0.4,1.0,1.0
221,PHYS,0.042071443725148,0.4556809177028799,0.00016308427222451599,40,0.4,1.0,1.0
223,PHYS,0.04193227587700564,0.45568091770285707,0.00016308427222947627,40,0.4,1.0,1.0
226,PHYS,0.04188920492636901,0.4556809177028119,0.00016308427223429844,40,0.4,1.0,1.0
229,PHYS,0.041392986474164666,0.45568091770277075,0.00016308427223893224,40,0.4,1.0,1.0
231,PHYS,0.04110193085049054,0.45568091770274355,0.00016308427224110688,40,0.4,1.0,1.0
234,PHYS,0.04072319947501588,0.45568091770269986,0.000163084272246505,40,0.4,1.0,1.0
237,PHYS,0.04057353941038554,0.45568091770265956,0.00016308427225004418,40,0.4,1.0,1.0
239,PHYS,0.040419606357695925,0.45568091770263114,0.0001630842722539907,40,0.4,1.0,1.0
242,PHYS,0.04013646581006352,0.4556809177025877,0.00016308427225937005,40,0.4,1.0,1.0
245,PHYS,0.04001906603130111,0.4556809177025462,0.0001630842722612613,40,0.4,1.0,1.0
248,PHYS,0.040100793307146686,0.45568091770250446,0.00016308427226857102,40,0.4,1.0,1.0
251,PHYS,0.039636061341227574,0.4556809177024642,0.00016308427227242065,40,0.4,1.0,1.0
254,PHYS,0.03937525231282766,0.45568091770242064,0.00016308427227818,40,0.4,1.0,1.0
257,PHYS,0.03940991223387824,0.45568091770238295,0.00016308427228399965,40,0.4,1.0,1.0
260,PHYS,0.039103805741851155,0.4556809177023363,0.00016308427228720475,40,0.4,1.0,1.0
263,PHYS,0.03907153280368424,0.45568091770229574,0.00016308427228991853,40,0.4,1.0,1.0
266,PHYS,0.03932837514574411,0.45568091770225305,0.00016308427229642098,40,0.4,1.0,1.0
269,PHYS,0.0392183621247704,0.4556809177022113,0.00016308427229846933,40,0.4,1.0,1.0
272,PHYS,0.03912781095810387,0.4556809177021692,0.00016308427230609241,40,0.4,1.0,1.0
275,PHYS,0.03902113669612474,0.45568091770212693,0.00016308427230822404,40,0.4,1.0,1.0
278,PHYS,0.039043695633048395,0.4556809177020849,0.00016308427231526563,40,0.4,1.0,1.0
281,PHYS,0.03911281808912719,0.4556809177020448,0.00016308427231960382,40,0.4,1.0,1.0
285,PHYS,0.039210722965567706,0.4556809177019893,0.0001630842723253974,40,0.4,1.0,1.0
288,PHYS,0.03946676963917986,0.45568091770194563,0.00016308427233062693,40,0.4,1.0,1.0
291,PHYS,0.0396019864321599,0.45568091770190533,0.00016308427233480087,40,0.4,1.0,1.0
295,PHYS,0.039562545760451526,0.45568091770184893,0.000163084272339966,40,0.4,1.0,1.0
298,PHYS,0.03973902576263765,0.45568091770180635,0.0001630842723462131,40,0.4,1.0,1.0
301,PHYS,0.03991530984001782,0.45568091770176233,0.00016308427234752802,40,0.4,1.0,1.0
305,PHYS,0.04010386159930934,0.4556809177017076,0.0001630842723543413,40,0.4,1.0,1.0
309,PHYS,0.0406017971942552,0.4556809177016536,0.00016308427236289973,40,0.4,1.0,1.0
312,PHYS,0.04075114004799041,0.45568091770161095,0.00016308427236807338,40,0.4,1.0,1.0
316,PHYS,0.040877077511151154,0.45568091770155494,0.00016308427237414768,40,0.4,1.0,1.0
319,PHYS,0.04107163616842617,0.4556809177015153,0.00016308427237810618,40,0.4,1.0,1.0
323,PHYS,0.04131885179086375,0.4556809177014589,0.00016308427238416606,40,0.4,1.0,1.0
327,PHYS,0.041616936553751045,0.4556809177014022,0.00016308427239121736,40,0.4,1.0,1.0
331,PHYS,0.042131965727656644,0.45568091770134506,0.0001630842723952815,40,0.4,1.0,1.0
334,PHYS,0.04221796294284381,0.4556809177013035,0.000163084272402228,40,0.4,1.0,1.0
338,PHYS,0.04240326692445922,0.45568091770124725,0.0001630842724084175,40,0.4,1.0,1.0
342,PHYS,0.04267929338796205,0.4556809177011911,0.0001630842724145834,40,0.4,1.0,1.0
346,PHYS,0.04286242297242073,0.4556809177011353,0.0001630842724210657,40,0.4,1.0,1.0
350,PHYS,0.04327928041028509,0.4556809177010795,0.0001630842724275494,40,0.4,1.0,1.0
354,PHYS,0.04350473466343817,0.45568091770102387,0.0001630842724338527,40,0.4,1.0,1.0
358,PHYS,0.043610380585745095,0.4556809177009682,0.0001630842724399544,40,0.4,1.0,1.0
363,PHYS,0.043820654714037045,0.45568091770090097,0.00016308427244639406,40,0.4,1.0,1.0
367,PHYS,0.04390602110511829,0.45568091770084546,0.00016308427245387836,40,0.4,1.0,1.0
371,PHYS,0.04417722637377765,0.45568091770078933,0.00016308427245970876,40,0.4,1.0,1.0
375,PHYS,0.04430209881946994,0.4556809177007315,0.0001630842724644442,40,0.4,1.0,1.0
380,PHYS,0.044273617028785094,0.4556809177006612,0.00016308427247394008,40,0.4,1.0,1.0
384,PHYS,0.04431508287566693,0.4556809177006052,0.0001630842724801601,40,0.4,1.0,1.0
389,PHYS,0.044255771458491446,0.4556809177005371,0.00016308427248807879,40,0.4,1.0,1.0
393,PHYS,0.044401249017356224,0.45568091770048147,0.00016308427249547047,40,0.4,1.0,1.0
398,PHYS,0.04424228972690608,0.4556809177004098,0.00016308427250186775,40,0.4,1.0,1.0
402,PHYS,0.044174538560780914,0.45568091770035385,0.0001630842725079934,40,0.4,1.0,1.0
407,PHYS,0.043952054059890756,0.4556809177002843,0.0001630842725158038,40,0.4,1.0,1.0
412,PHYS,0.04392157235718923,0.4556809177002143,0.00016308427252388348,40,0.4,1.0,1.0
416,PHYS,0.04381186564261218,0.45568091770015845,0.000163084272529891,40,0.4,1.0,1.0
421,PHYS,0.04353108052738316,0.455680917700088,0.0001630842725364067,40,0.4,1.0,1.0
426,PHYS,0.04320694988489288,0.45568091770001856,0.00016308427254568616,40,0.4,1.0,1.0
431,PHYS,0.04302080285051615,0.4556809176999491,0.00016308427255203178,40,0.4,1.0,1.0
436,PHYS,0.04287092019913616,0.4556809176998783,0.00016308427256121193,40,0.4,1.0,1.0
441,PHYS,0.042559604661124115,0.45568091769981134,0.00016308427256983004,40,0.4,1.0,1.0
446,PHYS,0.04228123399846718,0.4556809176997388,0.0001630842725766399,40,0.4,1.0,1.0
451,PHYS,0.04200448132055052,0.45568091769967,0.00016308427258318812,40,0.4,1.0,1.0
457,PHYS,0.04178460057734413,0.4556809176995852,0.00016308427259191378,40,0.4,1.0,1.0
462,PHYS,0.04155450590107829,0.4556809176995159,0.00016308427260175277,40,0.4,1.0,1.0
467,PHYS,0.04129638925604252,0.4556809176994488,0.00016308427261070986,40,0.4,1.0,1.0
473,PHYS,0.04106767626963741,0.4556809176993646,0.0001630842726171631,40,0.4,1.0,1.0
478,PHYS,0.041040123887845316,0.4556809176992919,0.00016308427262643564,40,0.4,1.0,1.0
484,PHYS,0.040859610296110675,0.45568091769920854,0.0001630842726355164,40,0.4,1.0,1.0
489,PHYS,0.04071422759899798,0.45568091769913854,0.00016308427264174146,40,0.4,1.0,1.0
495,PHYS,0.04068807089714017,0.4556809176990555,0.0001630842726511066,40,0.4,1.0,1.0
501,PHYS,0.04070671922988156,0.45568091769897234,0.00016308427266205106,40,0.4,1.0,1.0
506,PHYS,0.04075716518978002,0.45568091769890123,0.00016308427266973068,40,0.4,1.0,1.0
512,PHYS,0.040703991452095425,0.4556809176988176,0.0001630842726795056,40,0.4,1.0,1.0
518,PHYS,0.04090377262028411,0.4556809176987331,0.00016308427268887154,40,0.4,1.0,1.0
524,PHYS,0.041122034382483234,0.4556809176986497,0.00016308427269775115,40,0.4,1.0,1.0
530,PHYS,0.04121239643935771,0.4556809176985662,0.0001630842727072662,40,0.4,1.0,1.0
537,PHYS,0.041513915235047,0.4556809176984702,0.0001630842727166973,40,0.4,1.0,1.0
543,PHYS,0.041839593807663354,0.4556809176983836,0.0001630842727240761,40,0.4,1.0,1.0
549,PHYS,0.042010208711031075,0.4556809176983032,0.00016308427273759306,40,0.4,1.0,1.0
555,PHYS,0.04221600266896163,0.4556809176982174,0.00016308427274432658,40,0.4,1.0,1.0
562,PHYS,0.0426500509417179,0.45568091769811936,0.0001630842727571913,40,0.4,1.0,1.0
568,PHYS,0.042868191329039886,0.4556809176980348,0.00016308427276652966,40,0.4,1.0,1.0
575,PHYS,0.043091366368245086,0.455680917697938,0.00016308427277707935,40,0.4,1.0,1.0
582,PHYS,0.04346394345034822,0.4556809176978393,0.00016308427278816025,40,0.4,1.0,1.0
588,PHYS,0.04361628017375346,0.4556809176977562,0.00016308427279745075,40,0.4,1.0,1.0
595,PHYS,0.04365675584081026,0.4556809176976572,0.0001630842728046089,40,0.4,1.0,1.0
602,PHYS,0.04389279823062934,0.4556809176975608,0.00016308427281933602,40,0.4,1.0,1.0
609,PHYS,0.04399388218318518,0.4556809176974637,0.00016308427282775962,40,0.4,1.0,1.0
616,PHYS,0.0439456557423966,0.4556809176973653,0.00016308427284118313,40,0.4,1.0,1.0
623,PHYS,0.04397642396313318,0.45568091769726865,0.000163084272851588,40,0.4,1.0,1.0
630,PHYS,0.043904664967874235,0.45568091769716956,0.00016308427286304688,40,0.4,1.0,1.0
638,PHYS,0.043732389636529916,0.455680917697058,0.000163084272875164,40,0.4,1.0,1.0
645,PHYS,0.043651218326794264,0.4556809176969624,0.00016308427288749678,40,0.4,1.0,1.0
653,PHYS,0.04341012272695468,0.455680917696849,0.00016308427289832977,40,0.4,1.0,1.0
660,PHYS,0.04311791926242629,0.4556809176967501,0.00016308427290944052,40,0.4,1.0,1.0
668,PHYS,0.04296844735132246,0.4556809176966382,0.00016308427292199558,40,0.4,1.0,1.0
